
Xi             Wi             y_exacta       
0              1              1              
0.049505       0.999769       0.999592       
0.0990099      0.998545       0.99837        
0.148515       0.996515       0.996344       
0.19802        0.993694       0.993528       
0.247525       0.990102       0.989942       
0.29703        0.985764       0.985612       
0.346535       0.98071        0.980567       
0.39604        0.974974       0.974841       
0.445545       0.968594       0.968471       
0.49505        0.961609       0.961498       
0.544554       0.954062       0.953963       
0.594059       0.945998       0.94591        
0.643564       0.93746        0.937384       
0.693069       0.928494       0.928431       
0.742574       0.919145       0.919094       
0.792079       0.909458       0.909418       
0.841584       0.899475       0.899446       
0.891089       0.889238       0.889221       
0.940594       0.878789       0.878782       
0.990099       0.868163       0.868166       
1.0396         0.857399       0.857411       
1.08911        0.846529       0.84655        
1.13861        0.835586       0.835615       
1.18812        0.824598       0.824634       
1.23762        0.813591       0.813635       
1.28713        0.802592       0.802641       
1.33663        0.791621       0.791676       
1.38614        0.780699       0.780759       
1.43564        0.769845       0.769909       
1.48515        0.759073       0.759141       
1.53465        0.748398       0.74847        
1.58416        0.737834       0.737908       
1.63366        0.72739        0.727466       
1.68317        0.717075       0.717154       
1.73267        0.706899       0.70698        
1.78218        0.696868       0.69695        
1.83168        0.686987       0.68707        
1.88119        0.677261       0.677344       
1.93069        0.667693       0.667777       
1.9802         0.658287       0.658371       
2.0297         0.649044       0.649127       
2.07921        0.639966       0.640049       
2.12871        0.631053       0.631135       
2.17822        0.622305       0.622387       
2.22772        0.613723       0.613803       
2.27723        0.605304       0.605384       
2.32673        0.59705        0.597128       
2.37624        0.588957       0.589034       
2.42574        0.581024       0.5811         
2.47525        0.57325        0.573324       
2.52475        0.565631       0.565704       
2.57426        0.558167       0.558238       
2.62376        0.550854       0.550924       
2.67327        0.54369        0.543758       
2.72277        0.536672       0.536738       
2.77228        0.529797       0.529862       
2.82178        0.523064       0.523127       
2.87129        0.516468       0.516529       
2.92079        0.510007       0.510066       
2.9703         0.503678       0.503736       
3.0198         0.497479       0.497535       
3.06931        0.491406       0.49146        
3.11881        0.485457       0.48551        
3.16832        0.479629       0.47968        
3.21782        0.473919       0.473968       
3.26733        0.468324       0.468371       
3.31683        0.462842       0.462887       
3.36634        0.45747        0.457513       
3.41584        0.452205       0.452247       
3.46535        0.447045       0.447085       
3.51485        0.441987       0.442025       
3.56436        0.437028       0.437066       
3.61386        0.432168       0.432203       
3.66337        0.427402       0.427436       
3.71287        0.422728       0.422761       
3.76238        0.418145       0.418176       
3.81188        0.41365        0.41368        
3.86139        0.409241       0.409269       
3.91089        0.404916       0.404943       
3.9604         0.400673       0.400698       
4.0099         0.396509       0.396533       
4.05941        0.392424       0.392446       
4.10891        0.388414       0.388435       
4.15842        0.384478       0.384498       
4.20792        0.380615       0.380633       
4.25743        0.376822       0.376839       
4.30693        0.373098       0.373113       
4.35644        0.36944        0.369455       
4.40594        0.365849       0.365862       
4.45545        0.362321       0.362333       
4.50495        0.358856       0.358867       
4.55446        0.355452       0.355461       
4.60396        0.352107       0.352115       
4.65347        0.34882        0.348827       
4.70297        0.34559        0.345596       
4.75248        0.342415       0.34242        
4.80198        0.339294       0.339298       
4.85149        0.336226       0.336229       
4.90099        0.33321        0.333212       
4.9505         0.330244       0.330245       
5              0.327327       0.327327       
