
Xi             Wi             y_exacta       
1              0.5            0.5            
1.05           0.487806       0.487805       
1.1            0.476192       0.47619        
1.15           0.465119       0.465116       
1.2            0.454548       0.454545       
1.25           0.444447       0.444444       
1.3            0.434786       0.434783       
1.35           0.425535       0.425532       
1.4            0.41667        0.416667       
1.45           0.408167       0.408163       
1.5            0.400003       0.4            
1.55           0.39216        0.392157       
1.6            0.384618       0.384615       
1.65           0.377361       0.377358       
1.7            0.370373       0.37037        
1.75           0.363638       0.363636       
1.8            0.357145       0.357143       
1.85           0.350878       0.350877       
1.9            0.344828       0.344828       
1.95           0.338984       0.338983       
2              0.333333       0.333333       
