x1             y1             x2             y2             v1x            v1y            v2x            v2y            v3x            v3y            v4x            v4y            v5x            v5y            v6x            v6y            p2x            p2y            
1.94935        -6.7231        9.9955         -15.4291       2.59267        1.50932        -2.59267       -1.50932       3.44459        -11.88         14.4304        -10.396        11.3611        -21.9969       5.56063        -20.4622       8.62994        -8.86138       
1.59033        -6.81695       9.84845        -15.7954       2.66902        1.3698         -2.66902       -1.3698        2.81018        -12.0459       14.0196        -10.5417       11.5487        -22.2846       5.67727        -21.0491       8.14821        -9.30627       
1.18775        -6.8985        9.66438        -16.147        2.74477        1.21089        -2.74477       -1.21089       2.0988         -12.19         13.5219        -10.6589       11.7404        -22.5259       5.80691        -21.6352       7.58833        -9.76817       
0.744839       -6.96026       9.43341        -16.464        2.81648        1.03316        -2.81648       -1.03316       1.31616        -12.2991       12.9278        -10.7378       11.9177        -22.6952       5.93899        -22.1902       6.94913        -10.2328       
0.27049        -6.99477       9.14545        -16.7265       2.88014        0.839526       -2.88014       -0.839526      0.477968       -12.3601       12.2375        -10.7735       12.0527        -22.772        6.05337        -22.6796       6.23824        -10.681        
-0.220211      -6.99654       8.79358        -16.9214       2.93188        0.635689       -2.93188       -0.635689      -0.389122      -12.3632       11.4659        -10.7685       12.1125        -22.7511       6.12126        -23.0744       5.47463        -11.0918       
-0.709133      -6.96399       8.37765        -17.0482       2.96916        0.429024       -2.96916       -0.429024      -1.25307       -12.3057       10.6427        -10.7339       12.07          -22.6487       6.11264        -23.3624       4.68526        -11.4476       
-1.18059       -6.89972       7.9047         -17.1187       2.99145        0.226322       -2.99145       -0.226322      -2.08616       -12.1921       9.80332        -10.6848       11.9127        -22.498        6.00607        -23.5526       3.89674        -11.7395       
-1.62471       -6.80884       7.38585        -17.1514       2.99983        0.0322209      -2.99983       -0.0322209     -2.87094       -12.0315       8.97899        -10.6351       11.643         -22.3356       5.79272        -23.6676       3.12871        -11.9671       
-2.03703       -6.69705       6.83268        -17.1644       2.99621        -0.150831      -2.99621       0.150831       -3.59953       -11.834        8.19179        -10.5953       11.2725        -22.1931       5.47358        -23.7335       2.39288        -12.1357       
-2.41643       -6.56969       6.25512        -17.1729       2.98269        -0.321812      -2.98269       0.321812       -4.26994       -11.6089       7.45555        -10.5729       10.8148        -22.0932       5.0547         -23.7728       1.69544        -12.2526       
-2.76329       -6.4315        5.66094        -17.1881       2.96129        -0.480391      -2.96129       0.480391       -4.88285       -11.3648       6.77825        -10.5736       10.2821        -22.0506       4.54362        -23.8026       1.03972        -12.3255       
-3.07842       -6.28676       5.05587        -17.2181       2.93386        -0.626463      -2.93386       0.626463       -5.43971       -11.109        6.16413        -10.6021       9.68373        -22.0744       3.9476         -23.8342       0.428009       -12.3619       
-3.36257       -6.13947       4.44402        -17.2685       2.90216        -0.759914      -2.90216       0.759914       -5.94182       -10.8487       5.61508        -10.6633       9.02554        -22.1685       3.27296        -23.8737       -0.137497      -12.3686       
-3.61618       -5.9936        3.82818        -17.3428       2.86787        -0.880522      -2.86787       0.880522       -6.38996       -10.591        5.13138        -10.7624       8.31058        -22.3336       2.52498        -23.9232       -0.654217      -12.352        
-3.83938       -5.85313       3.21009        -17.4429       2.83267        -0.987922      -2.83267       0.987922       -6.78436       -10.3428       4.71209        -10.905        7.53921        -22.5673       1.70809        -23.9808       -1.11902       -12.3186       
-4.03195       -5.72218       2.59069        -17.5694       2.79824        -1.0816        -2.79824       1.0816         -7.12465       -10.1114       4.35522        -11.0974       6.70955        -22.8642       0.826157       -24.0413       -1.52817       -12.2746       
-4.19338       -5.60496       1.97029        -17.7211       2.76628        -1.1609        -2.76628       1.1609         -7.40989       -9.90422       4.05777        -11.3459       5.81792        -23.2162       -0.117183      -24.0962       -1.87733       -12.226        
-4.32279       -5.50577       1.34881        -17.8954       2.73849        -1.22502       -2.73849       1.22502        -7.63856       -9.72894       3.81569        -11.6572       4.85921        -23.6118       -1.11806       -24.1335       -2.16158       -12.179        
-4.41894       -5.4289        0.725934       -18.0873       2.71652        -1.27299       -2.71652       1.27299        -7.80847       -9.59311       3.62372        -12.0373       3.82729        -24.0356       -2.17185       -24.1374       -2.37542       -12.1391       
-4.48018       -5.37848       0.101417       -18.2892       2.70192        -1.30369       -2.70192       1.30369        -7.91668       -9.50401       3.47515        -12.4911       2.71566        -24.4671       -3.27231       -24.0873       -2.51283       -12.1114       
-4.50446       -5.35816       -0.524514      -18.4894       2.696          -1.3159        -2.696         1.3159         -7.95959       -9.4681        3.36125        -13.0212       1.51856        -24.8789       -4.41028       -23.9576       -2.56759       -12.0999       
-4.48966       -5.37057       -1.15051       -18.6709       2.69962        -1.30845       -2.69962       1.30845        -7.93343       -9.49003       3.27044        -13.6256       0.233158       -25.2348       -5.57147       -23.7162       -2.53419       -12.1069       
-4.43445       -5.41624       -1.77309       -18.8101       2.71287        -1.28075       -2.71287       1.28075        -7.83588       -9.57074       3.18699        -14.2938       -1.13604       -25.488        -6.73317       -23.3265       -2.41013       -12.1322       
-4.34035       -5.49194       -2.38526       -18.8777       2.73456        -1.23376       -2.73456       1.23376        -7.6696        -9.7045        3.09014        -15.0021       -2.57006       -25.5833       -7.86067       -22.7532       -2.20047       -12.172        
-4.21454       -5.58907       -2.97587       -18.844        2.76187        -1.17135       -2.76187       1.17135        -7.44728       -9.87613       2.95565        -15.7108       -4.02821       -25.4691       -8.90739       -21.9772       -1.92354       -12.2188       
-4.07108       -5.69441       -3.53142       -18.6916       2.79076        -1.10076       -2.79076       1.10076        -7.19379       -10.0623       2.76233        -16.3702       -5.45056       -25.1194       -9.82516       -21.013        -1.61227       -12.2638       
-3.92721       -5.79457       -4.04071       -18.4252       2.81745        -1.03053       -2.81745       1.03053        -6.93956       -10.2393       2.50081        -16.9391       -6.77676       -24.5501       -10.5822       -19.9113       -1.30466       -12.3003       
-3.79696       -5.88074       -4.49856       -18.0682       2.83974        -0.967416      -2.83974       0.967416       -6.7094        -10.3915       2.17608        -17.398        -7.96719       -23.81         -11.1732       -18.7384       -1.02993       -12.3264       
-3.68798       -5.94969       -4.90533       -17.6506       2.85708        -0.914937      -2.85708       0.914937       -6.51682       -10.5134       1.80216        -17.7483       -9.008         -22.958        -11.6128       -17.5529       -0.802669      -12.3432       
-3.60251       -6.00182       -5.26446       -17.1996       2.86987        -0.873983      -2.86987       0.873983       -6.3658        -10.6055       1.3955         -18.0026       -9.90287       -22.0458       -11.9244       -16.3966       -0.626063      -12.3535       
-3.53963       -6.03912       -5.58036       -16.7365       2.87884        -0.843962      -2.87884       0.843962       -6.25469       -10.6714       0.971382       -18.1769       -10.6637       -21.1137       -12.1321       -15.2961       -0.497008      -12.3593       
-3.49689       -6.06397       -5.85739       -16.277        2.88473        -0.82361       -2.88473       0.82361        -6.17917       -10.7153       0.542761       -18.2864       -11.3051       -20.1914       -12.2575       -14.2675       -0.409712      -12.3625       
-3.47128       -6.07867       -6.09955       -15.8325       2.88818        -0.811432      -2.88818       0.811432       -6.13391       -10.7413       0.120323       -18.3451       -11.8416       -19.3008       -12.3194       -13.3199       -0.35755       -12.3641       
-3.45964       -6.0853        -6.31036       -15.4114       2.88973        -0.805905      -2.88973       0.805905       -6.11335       -10.753        -0.287187      -18.3646       -12.2868       -18.458        -12.3335       -12.4582       -0.333896      -12.3648       
-3.45895       -6.0857        -6.49289       -15.0199       2.88982        -0.805574      -2.88982       0.805574       -6.11211       -10.7537       -0.672605      -18.3552       -12.6533       -17.6749       -12.3132       -11.6846       -0.332477      -12.3648       
-3.46634       -6.08149       -6.64984       -14.6624       2.88884        -0.809087      -2.88884       0.809087       -6.12519       -10.7463       -1.03006       -18.3255       -12.9522       -16.9604       -12.2696       -10.9993       -0.347512      -12.3644       
-3.47925       -6.07411       -6.78353       -14.3423       2.88711        -0.815221      -2.88711       0.815221       -6.148         -10.7332       -1.35475       -18.2829       -13.1933       -16.321        -12.2123       -10.4017       -0.373773      -12.3637       
-3.49537       -6.06485       -6.89597       -14.0621       2.88494        -0.822886      -2.88494       0.822886       -6.17648       -10.7169       -1.64278       -18.2339       -13.3853       -15.7616       -12.1492       -9.89028       -0.406606      -12.3626       
-3.5127        -6.05483       -6.98887       -13.8235       2.88257        -0.831131      -2.88257       0.831131       -6.2071        -10.6992       -1.89102       -18.1838       -13.5358       -15.2857       -12.0867       -9.46329       -0.441953      -12.3614       
-3.52954       -6.04503       -7.06366       -13.628        2.88025        -0.839153      -2.88025       0.839153       -6.23686       -10.6818       -2.09699       -18.1371       -13.651        -14.8959       -12.0303       -9.11889       -0.476366      -12.3601       
-3.54452       -6.03625       -7.12148       -13.4764       2.87816        -0.846293      -2.87816       0.846293       -6.26333       -10.6663       -2.2588        -18.0975       -13.736        -14.5939       -11.9842       -8.85535       -0.507016      -12.3589       
-3.55658       -6.02916       -7.16321       -13.3694       2.87646        -0.852042      -2.87646       0.852042       -6.28463       -10.6538       -2.37506       -18.0677       -13.7947       -14.381        -11.9514       -8.67118       -0.531709      -12.3579       
-3.56496       -6.02421       -7.18944       -13.3075       2.87527        -0.856042      -2.87527       0.856042       -6.29944       -10.645        -2.44483       -18.0497       -13.83         -14.2578       -11.934        -8.56526       -0.548893      -12.3571       
-3.56923       -6.02168       -7.20052       -13.2908       2.87466        -0.858082      -2.87466       0.858082       -6.30699       -10.6406       -2.46757       -18.0446       -13.8434       -14.2248       -11.9335       -8.53692       -0.557664      -12.3567       
-3.56928       -6.02165       -7.19654       -13.3194       2.87466        -0.858106      -2.87466       0.858106       -6.30708       -10.6405       -2.44314       -18.0528       -13.8353       -14.2821       -11.9499       -8.58598       -0.557767      -12.3567       
-3.5653        -6.024         -7.17731       -13.3932       2.87522        -0.856206      -2.87522       0.856206       -6.30005       -10.6447       -2.37178       -18.0737       -13.805        -14.4294       -11.9828       -8.71274       -0.549602      -12.3571       
-3.5578        -6.02844       -7.14238       -13.512        2.87629        -0.852626      -2.87629       0.852626       -6.28679       -10.6525       -2.25411       -18.106        -13.7505       -14.6662       -12.0306       -8.91799       -0.534218      -12.3578       
-3.54759       -6.03445       -7.09105       -13.6752       2.87773        -0.847758      -2.87773       0.847758       -6.26876       -10.6631       -2.09117       -18.1475       -13.6688       -14.9918       -12.0909       -9.20294       -0.513308      -12.3587       
-3.53582       -6.04136       -7.02234       -13.8822       2.87937        -0.842144      -2.87937       0.842144       -6.24795       -10.6754       -1.88445       -18.1952       -13.5555       -15.4047       -12.1602       -9.56914       -0.489201      -12.3596       
-3.52391       -6.04831       -6.93501       -14.1318       2.88103        -0.83647       -2.88103       0.83647        -6.22691       -10.6876       -1.63596       -18.2452       -13.4052       -15.903        -12.2341       -10.0184       -0.464854      -12.3606       
-3.51362       -6.05429       -6.82751       -14.4226       2.88245        -0.831571      -2.88245       0.831571       -6.20873       -10.6982       -1.3483        -18.2928       -13.2112       -16.4839       -12.3067       -10.5524       -0.443838      -12.3614       
-3.507         -6.05813       -6.69802       -14.7527       2.88335        -0.82842       -2.88335       0.82842        -6.19703       -10.705        -1.02474       -18.3323       -12.9657       -17.1435       -12.3713       -11.173        -0.430326      -12.3618       
-3.50639       -6.05848       -6.5444        -15.1192       2.88344        -0.828129      -2.88344       0.828129       -6.19595       -10.7056       -0.669338      -18.3571       -12.6597       -17.8765       -12.4195       -11.8814       -0.429079      -12.3619       
-3.5144        -6.05384       -6.36417       -15.5186       2.88234        -0.83194       -2.88234       0.83194        -6.2101        -10.6974       -0.287098      -18.3592       -12.2829       -18.6759       -12.4412       -12.6779       -0.445422      -12.3613       
-3.53387       -6.0425        -6.15448       -15.9458       2.87965        -0.841214      -2.87965       0.841214       -6.2445        -10.6774       0.115874       -18.3296       -11.8238       -19.5318       -12.4248       -13.562        -0.485212      -12.3598       
-3.56781       -6.02252       -5.91206       -16.3941       2.87487        -0.857405      -2.87487       0.857405       -6.30449       -10.6421       0.532115       -18.2576       -11.2694       -20.4313       -12.3562       -14.5306       -0.554754      -12.3569       
-3.61928       -5.99173       -5.63314       -16.8543       2.86741        -0.882005      -2.86741       0.882005       -6.39543       -10.5877       0.952502       -18.1308       -10.6057       -21.357        -12.2188       -15.5779       -0.660605      -12.3517       
-3.69107       -5.94777       -5.3135        -17.3138       2.8566         -0.916422      -2.8566        0.916422       -6.52229       -10.51         1.3659         -17.9347       -9.81792       -22.2847       -11.9929       -16.6928       -0.809086      -12.3428       
